,User,Tweet,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Count
45,@BBC,"Great Britain's John Curry was the world's first out gay Olympian. This is his story. ⛸

https://t.co/8kFobV3AWe",Thu Jul 12 18:04:07 +0000 2018,0.6249,0.215,0.785,0.0,45
46,@BBC,Not all heroes wear capes. This Australian diving doctor abandoned his holiday to stay with the boys trapped in a c… https://t.co/BRaTqIJP19,Thu Jul 12 17:03:06 +0000 2018,-0.0258,0.246,0.539,0.215,46
47,@BBC,"Orkney’s mysterious stone circles are older than Stonehenge... 

https://t.co/Cbuq22PkVm",Thu Jul 12 16:03:02 +0000 2018,0.0,0.0,1.0,0.0,47
48,@BBC,"RT @BBCOne: Love and trust, shattered by secrets and lies. Keeping Faith from @BBCWales starring @TeamEveMyles starts tonight at 9pm on BBC…",Thu Jul 12 14:47:18 +0000 2018,0.6597,0.31,0.512,0.178,48
49,@BBC,"The university access watchdog says students' backgrounds should be taken into account when awarding places, to imp… https://t.co/q9vW9zt46B",Thu Jul 12 13:04:03 +0000 2018,0.4404,0.146,0.854,0.0,49
50,@BBC,"Why are more parents around the world choosing to raise only children?

https://t.co/bWil43TvES",Thu Jul 12 12:04:04 +0000 2018,0.0,0.0,1.0,0.0,50
51,@BBC,"RT @BBCFOUR: Dr Lucy Worsley shows how Britain's new ruling family fought the French, the Jacobites and each other, all at the same time. T…",Thu Jul 12 11:43:48 +0000 2018,-0.3182,0.0,0.913,0.087,51
52,@BBC,Meet the people getting the @bbcproms off to a spectacular start. 😍🎶🎻 https://t.co/rD5I0XXrLz https://t.co/5im1Tokqsr,Thu Jul 12 11:02:03 +0000 2018,0.0,0.0,1.0,0.0,52
53,@BBC,"♻️🥛Meet the schoolchildren who redesigned their milk cartons without plastic straws. 

Their school now uses fully… https://t.co/hK4M1UtcHk",Thu Jul 12 10:30:00 +0000 2018,0.0,0.0,1.0,0.0,53
54,@BBC,"Adam can't hide the fact that he has a stutter, and he doesn't want to anymore.

https://t.co/JVzJkk828L",Thu Jul 12 08:03:03 +0000 2018,-0.1788,0.086,0.733,0.182,54
55,@BBC,"Native wildlife is ""flocking back"" to the Outer Hebrides following a 17-year project to eradicate the American mink… https://t.co/QbGQddmWyW",Thu Jul 12 07:31:08 +0000 2018,0.0,0.0,1.0,0.0,55
56,@BBC,"Walrus siestas can last a week! 💤 These incredible creatures know how to nap... 

https://t.co/qZRpNBkpuc",Thu Jul 12 07:03:04 +0000 2018,0.0,0.0,1.0,0.0,56
57,@BBC,"It’s not coming home. 💔

But it's been an incredible journey. ♥️

https://t.co/TrqeqzfTUq  #ENG #WorldCup… https://t.co/nCoN5lDJys",Wed Jul 11 20:39:03 +0000 2018,0.0,0.0,1.0,0.0,57
58,@BBC,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",Wed Jul 11 20:23:23 +0000 2018,0.0,0.0,1.0,0.0,58
59,@BBC,"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",Wed Jul 11 20:03:46 +0000 2018,-0.1027,0.0,0.924,0.076,59
60,@BBC,"Full time: #CRO 1-1 #ENG 

Who's ready for another 30 minutes?

Follow it live: 
📱 https://t.co/TrqeqzfTUq  
📻… https://t.co/CuPZrrxFEW",Wed Jul 11 19:52:13 +0000 2018,0.3612,0.135,0.865,0.0,60
